               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11757,            0.082884,            0.078911,            0.016922,             0.16008,             0.01049,           0.0023743,             0.10201,            0.096194,            0.074173,               0.091,               0.001,               0.001
                   1,            0.098049,            0.097386,            0.063933,             0.56217,            0.094937,            0.040459,           0.0084957,            0.090827,            0.095274,            0.054543,            0.081058,           0.0020584,           0.0020584
                   2,            0.088267,            0.091915,             0.04781,             0.32704,             0.44963,             0.33471,            0.076164,            0.096613,             0.11342,            0.036913,            0.071073,           0.0030733,           0.0030733
                   3,            0.090675,            0.070611,            0.032902,             0.21684,             0.67302,             0.21955,            0.052668,            0.089904,             0.07639,            0.024086,            0.061045,           0.0040446,           0.0040446
                   4,             0.09044,             0.05815,            0.024623,            0.093444,             0.44956,            0.090797,            0.022443,             0.10919,            0.064752,            0.019248,            0.050972,           0.0049723,           0.0049723
                   5,             0.10361,            0.046175,            0.021382,             0.32357,             0.40012,             0.28396,            0.061607,             0.10408,            0.055387,            0.013892,            0.040857,           0.0058565,           0.0058565
                   6,             0.10403,            0.042162,            0.016959,             0.21145,             0.38092,             0.25896,            0.083804,             0.10856,            0.048256,            0.011952,            0.030697,           0.0066971,           0.0066971
                   7,             0.10118,            0.040895,            0.015309,             0.48954,             0.45383,             0.48043,             0.15603,             0.10099,            0.050637,            0.011295,            0.020494,           0.0074942,           0.0074942
                   8,             0.10454,            0.044775,            0.013494,             0.38036,             0.41696,             0.34436,            0.097744,             0.10337,              0.0471,            0.011471,            0.010248,           0.0082477,           0.0082477
                   9,             0.10191,            0.041201,            0.013923,             0.56602,             0.50634,             0.54755,             0.19857,            0.094142,            0.049582,            0.010903,            0.008218,            0.008218,            0.008218
                  10,            0.095599,            0.042629,            0.012169,             0.14059,             0.44547,              0.1453,            0.044345,             0.10386,            0.055813,           0.0097416,            0.008218,            0.008218,            0.008218
                  11,              0.0917,            0.047304,            0.011871,             0.65214,             0.67614,             0.72683,             0.22654,            0.074652,            0.059273,            0.010036,             0.00802,             0.00802,             0.00802
                  12,            0.088377,            0.047048,            0.012076,             0.24779,             0.38043,             0.33638,             0.15117,            0.098286,            0.053891,           0.0094667,            0.007822,            0.007822,            0.007822
                  13,            0.089973,            0.047881,            0.011832,             0.31346,              0.6703,             0.47699,             0.18286,            0.083929,            0.049791,           0.0082068,            0.007624,            0.007624,            0.007624
                  14,             0.07763,            0.050477,            0.010559,             0.40433,             0.66943,             0.50582,             0.22986,            0.079925,            0.056366,           0.0075901,            0.007426,            0.007426,            0.007426
                  15,            0.074057,            0.046609,            0.009276,             0.55257,             0.64685,             0.61113,             0.21801,            0.075402,            0.059028,           0.0077586,            0.007228,            0.007228,            0.007228
